canonical_smiles,molecule_chembl_id,relation,standard_relation,standard_type,standard_value,type,value
O=C(Nc1ccc(Cl)c(Cl)c1)Nc1nnc(-c2ccncc2)s1,CHEMBL1321933,=,=,IC50,3400.0,IC50,3.4
N#Cc1cc(NC(=O)Nc2nnc(-c3ccncc3)s2)ccc1Cl,CHEMBL2426190,=,=,IC50,1600.0,IC50,1.6
O=C(Nc1ccc(Br)c(Br)c1)Nc1nnc(-c2ccncc2)s1,CHEMBL2426161,=,=,IC50,2900.0,IC50,2.9
N#Cc1cc(NC(=O)Nc2nnc(-c3ccncc3)s2)ccc1Br,CHEMBL2426164,=,=,IC50,1100.0,IC50,1.1
O=C(Nc1ccc(F)c(C(F)(F)F)c1)Nc1nnc(-c2ccncc2)s1,CHEMBL2426168,=,=,IC50,2700.0,IC50,2.7
N#Cc1cc(NC(=O)Nc2nnc(-c3ccncc3)s2)ccc1F,CHEMBL2426169,=,=,IC50,2200.0,IC50,2.2
N#Cc1cc(NC(=O)Nc2nnc(-c3ccncc3)s2)ccc1-c1cn[nH]c1,CHEMBL2426174,=,=,IC50,7100.0,IC50,7.1
O=C(Nc1ccc(F)c(C(F)(F)F)c1)Nc1nnc(-c2ccncc2)s1,CHEMBL2426168,=,=,IC50,5000.0,IC50,5.0
CCC(=O)OCN1C(=O)C=CC1=O,CHEMBL1374426,=,=,IC50,20000.0,IC50,20.0
CCC(=O)OCN1C(=O)C=CC1=O,CHEMBL1374426,=,=,IC50,3000.0,IC50,3.0
CCc1sc(C(C2=C(O)CC(C)(C)CC2=O)C2=C(O)CC(C)(C)CC2=O)cc1[N+](=O)[O-],CHEMBL5569532,=,=,IC50,49630.0,IC50,49.63
CCc1sc(C(C2=C(O)CCCC2=O)C2=C(O)CCCC2=O)cc1[N+](=O)[O-],CHEMBL5571040,=,=,IC50,77010.0,IC50,77.01
CCc1ccc(C(C2=C(O)CC(C)(C)CC2=O)C2=C(O)CC(C)(C)CC2=O)s1,CHEMBL5584137,=,=,IC50,64030.0,IC50,64.03
CC1(C)CC(=O)C(C(C2=C(O)CC(C)(C)CC2=O)c2ccc(Cl)s2)=C(O)C1,CHEMBL5570424,=,=,IC50,25730.0,IC50,25.73
CC1(C)CC(=O)C(C(C2=C(O)CC(C)(C)CC2=O)c2ccc(Br)s2)=C(O)C1,CHEMBL5595871,=,=,IC50,24320.0,IC50,24.32
CC1(C)CC(=O)C(C(C2=C(O)CC(C)(C)CC2=O)c2ccc(I)s2)=C(O)C1,CHEMBL5570090,=,=,IC50,22430.0,IC50,22.43
CC1(C)CC(=O)C(C(C2=C(O)CC(C)(C)CC2=O)c2ccc(-c3cccnc3)s2)=C(O)C1,CHEMBL5593004,=,=,IC50,30280.0,IC50,30.28
CC1(C)CC(=O)C(C(C2=C(O)CC(C)(C)CC2=O)c2ccc(-c3ccc(-c4ccc(Br)s4)s3)s2)=C(O)C1,CHEMBL5575239,=,=,IC50,26190.0,IC50,26.19
CC1(C)CC(=O)C(C(C2=C(O)CC(C)(C)CC2=O)c2ccc(-c3ccccc3)s2)=C(O)C1,CHEMBL5574127,=,=,IC50,28990.0,IC50,28.99
CC1(C)CC(=O)C(C(C2=C(O)CC(C)(C)CC2=O)c2ccc(-c3ccc4ccccc4c3)s2)=C(O)C1,CHEMBL5595204,=,=,IC50,82330.0,IC50,82.33
COc1ccc2cc(-c3ccc(C(C4=C(O)CC(C)(C)CC4=O)C4=C(O)CC(C)(C)CC4=O)s3)ccc2c1,CHEMBL5572836,=,=,IC50,22510.0,IC50,22.51
CC1(C)CC(=O)C(C(C2=C(O)CC(C)(C)CC2=O)c2ccc(Cc3ccccc3)s2)=C(O)C1,CHEMBL5569477,=,=,IC50,19600.0,IC50,19.6
CC1(C)CC(=O)C(C(C2=C(O)CC(C)(C)CC2=O)c2ccc(CCc3ccccc3)s2)=C(O)C1,CHEMBL5570953,=,=,IC50,3019.0,IC50,3.019
Cc1ccc(S(=O)(=O)c2ccc(C(C3=C(O)CC(C)(C)CC3=O)C3=C(O)CC(C)(C)CC3=O)s2)cc1,CHEMBL5568780,=,=,IC50,18670.0,IC50,18.67
CC1(C)CC(=O)C(C(C2=C(O)CC(C)(C)CC2=O)c2ccc(-c3ccc(F)cc3)s2)=C(O)C1,CHEMBL5567567,=,=,IC50,25890.0,IC50,25.89
CC1(C)CC(=O)C(C(C2=C(O)CC(C)(C)CC2=O)c2ccc(-c3ccc(C(F)(F)F)cc3)s2)=C(O)C1,CHEMBL5574321,=,=,IC50,19750.0,IC50,19.75
CC1(C)CC(=O)C(C(C2=C(O)CC(C)(C)CC2=O)c2ccc(-c3ccc(Cl)cc3)s2)=C(O)C1,CHEMBL5572322,=,=,IC50,25520.0,IC50,25.52
