epoch,train_loss,val_loss,val_rmse,is_best,epoch_time_sec
1,37.24671,36.699999,6.4552,True,0.12
2,34.368765,35.217583,6.3169,True,0.02
3,32.803237,33.177375,6.1311,True,0.02
4,31.136159,31.0769,5.9347,True,0.02
5,30.813711,29.443526,5.7881,True,0.02
6,30.309182,28.265717,5.6799,True,0.02
7,28.396654,26.865274,5.5569,True,0.02
8,27.851318,25.981231,5.4713,True,0.03
9,27.052422,26.161541,5.4877,False,0.02
10,24.601183,24.992949,5.363,True,0.02
11,24.556842,23.529895,5.2135,True,0.02
12,23.410755,23.369226,5.19,True,0.02
13,23.244707,23.466624,5.1963,False,0.02
14,21.650745,22.243161,5.0661,True,0.02
15,20.677292,21.498242,4.9817,True,0.02
16,20.550077,20.485439,4.8569,True,0.02
17,19.384754,19.58886,4.7541,True,0.02
18,18.920688,18.863509,4.6708,True,0.02
19,18.390059,18.591737,4.6416,True,0.02
20,17.373723,18.438031,4.631,True,0.03
21,16.792987,17.717959,4.5344,True,0.02
22,16.002388,17.64586,4.5303,True,0.02
23,15.275053,17.181825,4.4792,True,0.02
24,14.47513,16.146559,4.3555,True,0.02
25,14.222599,15.537437,4.2751,True,0.02
26,12.999054,15.247477,4.2385,True,0.02
27,13.109825,15.098952,4.2227,True,0.02
28,11.799941,13.787479,4.0542,True,0.02
29,12.30357,13.815393,4.057,False,0.02
30,10.805566,13.190539,3.9736,True,0.02
31,10.75637,12.732083,3.9074,True,0.02
32,10.948005,12.760818,3.9189,False,0.02
33,9.714729,11.897314,3.8036,True,0.02
34,9.101733,11.443901,3.7331,True,0.02
35,9.438254,11.403539,3.7133,True,0.02
36,8.616932,11.073091,3.6744,True,0.02
37,8.093131,9.714934,3.4753,True,0.02
38,7.754111,9.968227,3.5127,False,0.01
39,7.320179,9.877476,3.4946,False,0.01
40,6.924946,9.449341,3.4223,True,0.02
41,6.143184,8.744344,3.3064,True,0.02
42,6.039106,8.524725,3.2826,True,0.02
43,5.935843,8.053595,3.1917,True,0.02
44,5.967273,7.593417,3.1184,True,0.02
45,5.563095,7.613515,3.1206,False,0.02
46,5.474789,7.187546,3.0337,True,0.02
47,5.010288,7.055912,3.0101,True,0.02
48,4.602019,6.554636,2.9139,True,0.02
49,3.893609,6.457023,2.8853,True,0.02
50,4.403938,6.517163,2.895,False,0.01
