候选编号,候选来源,SMILES,分子量,LogP,HBD,HBA,TPSA,预测pIC50,预测IC50(nM),Vina结合能(kcal/mol),结合评估,模型版本,备注
1,TCMBank,[H]O[C@@]1([H])C(=O)[C@@]2(C([H])([H])[H])[C@]([H])([C@]([H])(OC(=O)c3c([H])c([H])c([H])c([H])c3[H])[C@@]3(O[H])C(C([H])([H])[H])(C([H])([H])[H])C1=C(C([H])([H])[H])[C@@]([H])(OC(=O)[C@]([H])(O[H])[C@]([H])(c1c([H])c([H])c([H])c([H])c1[H])N([H])C(=O)C([H])([H])C([H])([H])[H])C3([H])[H])[C@]1(OC(=O)C([H])([H])[H])C([H])([H])O[C@]1([H])C([H])([H])[C@]2([H])O[H],763.84,2.26,5,13,215.22,5.3193,4794.02,-7.033,强结合,v1.0-best_model.pth,推荐优先研究
2,TCMBank,[H]O[C@]12C(C([H])([H])[H])(C([H])([H])[H])C(=C(C([H])([H])[H])[C@@]([H])(OC(=O)[C@]([H])(O[H])[C@@]([H])(c3c([H])c([H])c([H])c([H])c3[H])N([H])C(=O)C([H])=C([H])c3c([H])c([H])c([H])c([H])c3[H])C1([H])[H])[C@@]([H])(OC(=O)C([H])([H])[H])C(=O)[C@@]1(C([H])([H])[H])[C@]([H])([C@]2([H])OC(=O)c2c([H])c([H])c([H])c([H])c2[H])[C@]2(OC(=O)C([H])([H])[H])C([H])([H])O[C@]2([H])C([H])([H])[C@]1([H])O[H],879.96,4.14,4,14,221.29,5.1667,6813.1,-5.18,中等结合,v1.0-best_model.pth,
3,TCMBank,[H]O[C@]12C(C([H])([H])[H])(C([H])([H])[H])C(=C(C([H])([H])[H])[C@@]([H])(OC(=O)[C@]([H])(O[H])[C@]([H])(c3c([H])c([H])c([H])c([H])c3[H])N([H])C(=O)C([H])=C([H])c3c([H])c([H])c([H])c([H])c3[H])C1([H])[H])[C@@]([H])(OC(=O)C([H])([H])[H])C(=O)[C@@]1(C([H])([H])[H])[C@]([H])([C@]2([H])OC(=O)c2c([H])c([H])c([H])c([H])c2[H])[C@]2(OC(=O)C([H])([H])[H])C([H])([H])O[C@]2([H])C([H])([H])[C@]1([H])O[H],879.96,4.14,4,14,221.29,5.1667,6813.1,-7.735,强结合,v1.0-best_model.pth,推荐优先研究
4,TCMBank,[H]O[C@@]1([H])C(=O)[C@@]2(C([H])([H])[H])[C@]([H])([C@]([H])(OC(=O)c3c([H])c([H])c([H])c([H])c3[H])[C@@]3(O[H])C(C([H])([H])[H])(C([H])([H])[H])C1=C(C([H])([H])[H])[C@@]([H])(OC(=O)[C@]([H])(O[H])[C@]([H])(c1c([H])c([H])c([H])c([H])c1[H])N([H])C(=O)C(=C([H])C([H])([H])[H])C([H])([H])[H])C3([H])[H])[C@]1(OC(=O)C([H])([H])[H])C([H])([H])O[C@]1([H])C([H])([H])[C@]2([H])O[H],789.88,2.82,5,13,215.22,5.0083,9811.36,,,v1.0-best_model.pth,
5,TCMBank,[H]OC(=O)C([H])([H])O[C@@]1([H])O[C@]2([H])[C@@]([H])(O[H])[C@]([H])(O[C@@]3([H])C([H])([H])C([H])([H])[C@@]4(C([H])([H])[H])[C@@]([H])(C([H])([H])C([H])([H])[C@@]5(C([H])([H])[H])[C@@]6(C([H])([H])[H])C(=C([H])C([H])([H])[C@@]54[H])[C@]4([H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])[C@]4(C(=O)O[C@]4([H])O[C@]([H])(C([H])([H])O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]4([H])O[H])C([H])([H])C6([H])[H])[C@@]3(C(=O)O[H])C([H])([H])[H])O[C@]([H])(C(=O)O[H])[C@@]2([H])O[C@@]1(O[H])C(=O)O[H],985.04,0.74,10,18,352.26,4.939,11507.92,,,v1.0-best_model.pth,
6,TCMBank,[H]OC([H])([H])[C@@]1([H])O[C@@]2([H])O[C@@]3([H])C([H])([H])[C@]4([H])C(=C([H])C([H])([H])[C@]5([H])[C@@]4(C([H])([H])[H])C(=O)C([H])([H])[C@@]4(C([H])([H])[H])[C@@]5(C([H])([H])[H])C([H])([H])[C@@]([H])(O[H])[C@]4([H])[C@@](O[H])(C(=O)C([H])=C([H])C(OC(=O)C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])[C@]3(O[H])O[C@]2([H])[C@@]([H])(O[H])[C@]1([H])O[H],720.85,1.48,6,13,209.51,4.9267,11839.82,,,v1.0-best_model.pth,
7,TCMBank,[H]O[C@]12C(C([H])([H])[H])(C([H])([H])[H])C(=C(C([H])([H])[H])[C@@]([H])(OC(=O)[C@@]([H])(O[H])[C@@]([H])(c3c([H])c([H])c([H])c([H])c3[H])N([H])C(=O)C(=C([H])C([H])([H])[H])C([H])([H])[H])C1([H])[H])[C@@]([H])(OC(=O)C([H])([H])[H])C(=O)[C@@]1(C([H])([H])[H])[C@]([H])([C@]2([H])OC(=O)c2c([H])c([H])c([H])c([H])c2[H])[C@]2(OC(=O)C([H])([H])[H])C([H])([H])O[C@]2([H])C([H])([H])[C@]1([H])O[H],831.91,3.39,4,14,221.29,4.8377,14530.16,,,v1.0-best_model.pth,
8,TCMBank,[H]O[C@]12C(C([H])([H])[H])(C([H])([H])[H])C(=C(C([H])([H])[H])[C@@]([H])(OC(=O)[C@]([H])(O[H])[C@@]([H])(c3c([H])c([H])c([H])c([H])c3[H])N([H])C(=O)C(=C([H])C([H])([H])[H])C([H])([H])[H])C1([H])[H])[C@@]([H])(OC(=O)C([H])([H])[H])C(=O)[C@@]1(C([H])([H])[H])[C@]([H])([C@]2([H])OC(=O)c2c([H])c([H])c([H])c([H])c2[H])[C@]2(OC(=O)C([H])([H])[H])C([H])([H])O[C@]2([H])C([H])([H])[C@@]1([H])O[H],831.91,3.39,4,14,221.29,4.8377,14530.16,,,v1.0-best_model.pth,
9,TCMBank,[H]O[C@]12C(C([H])([H])[H])(C([H])([H])[H])C(=C(C([H])([H])[H])[C@]([H])(OC(=O)[C@]([H])(O[H])[C@@]([H])(c3c([H])c([H])c([H])c([H])c3[H])N([H])C(=O)C(=C([H])C([H])([H])[H])C([H])([H])[H])C1([H])[H])[C@]([H])(OC(=O)C([H])([H])[H])C(=O)[C@@]1(C([H])([H])[H])[C@]([H])([C@@]2([H])OC(=O)c2c([H])c([H])c([H])c([H])c2[H])[C@]2(OC(=O)C([H])([H])[H])C([H])([H])O[C@]2([H])C([H])([H])[C@]1([H])O[H],831.91,3.39,4,14,221.29,4.8377,14530.16,,,v1.0-best_model.pth,
10,TCMBank,[H]O[C@]12C(C([H])([H])[H])(C([H])([H])[H])C(=C(C([H])([H])[H])[C@@]([H])(OC(=O)[C@]([H])(O[H])[C@@]([H])(c3c([H])c([H])c([H])c([H])c3[H])N([H])C(=O)C(=C([H])C([H])([H])[H])C([H])([H])[H])C1([H])[H])[C@@]([H])(OC(=O)C([H])([H])[H])C(=O)[C@@]1(C([H])([H])[H])[C@]([H])([C@]2([H])OC(=O)c2c([H])c([H])c([H])c([H])c2[H])[C@]2(OC(=O)C([H])([H])[H])C([H])([H])O[C@]2([H])C([H])([H])[C@]1([H])O[H],831.91,3.39,4,14,221.29,4.8377,14530.16,,,v1.0-best_model.pth,
